Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v4.0 Base Score,CVSS v4.0 Base+Threat Score,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,EPSS Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","127.0.0.1","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

NessusWWW","","","","","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10147","","","None","127.0.0.1","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL     : https://localhost:8834/
  Version : unknown
","","","","","","","","","None","","IAVT:0001-T-0673","","1999/10/12","2023/02/08","","",""
"10863","","","None","127.0.0.1","tcp","8834","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Organization: Nessus Users United
Organization Unit: Nessus Server
Locality: New York
Country: US
State/Province: NY
Common Name: kali

Issuer Name: 

Organization: Nessus Users United
Organization Unit: Nessus Certification Authority
Locality: New York
Country: US
State/Province: NY
Common Name: Nessus Certification Authority

Serial Number: 75 28 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Aug 09 05:40:38 2025 GMT
Not Valid After: Aug 08 05:40:38 2029 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 C6 4D FD 0F 54 F7 8D 72 05 86 8A 9A 57 BC 34 41 F8 AA 61 
            C9 BF 65 D8 EB 06 13 AA B7 E4 4F 9D 0B CB 88 18 DC 42 FE D0 
            43 31 C0 82 C4 65 7F 92 8D C3 89 D9 39 AC 99 5A AE 54 AF 87 
            61 DA 93 0E CE 45 B2 D0 44 61 7C 51 C2 50 FB FE 6B A6 E4 29 
            FF DB 9E 9C 4E 59 65 60 A7 92 A8 CD 27 86 30 9F 7C 1C 3E 92 
            F9 19 DE 00 0B 81 D5 7B F9 23 D8 1C B6 C9 79 BD AA F4 F7 95 
            59 C2 3B A4 51 A1 60 DF 3D 60 6B D2 71 EB 38 26 56 83 EB 4C 
            20 18 42 39 D3 A0 71 58 D1 17 1D 25 A3 2D 14 D4 65 CB B4 5C 
            D3 71 DD C1 68 CB 3D 47 D0 F5 A9 D8 49 49 12 EB A2 F9 6C CF 
            29 95 50 AC ED 42 9A D1 C7 D2 AC 44 F9 CB AC D4 C6 B6 DE D1 
            09 29 E0 A8 0E FF 8F D7 2D CA DB EC 80 DC F5 66 06 1F 68 2F 
            16 0B 92 86 7D DA 8B 37 11 72 36 6D DE 97 2C F6 D6 F0 2D 0C 
            46 8C D2 5B 6C 98 16 5A 42 A7 48 6E B2 E1 2C 42 7F 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 6C 6C 72 6C 99 9F A7 66 B1 5F A7 6D 4B 1C 73 5B 6B CC 66 
           D7 47 C1 EB F6 BD EC 77 AC D4 C1 E1 1F 9C 03 98 2D C0 03 5D 
           04 DB 79 C5 BE 11 23 27 F2 84 EE A7 CF CA EE E0 5F 4F 19 C1 
           1C 88 40 57 92 78 2D 08 36 5A 54 95 7F 60 C0 9A 5C FE E0 E3 
           0A 89 25 FC 99 B1 26 BB 41 10 46 58 B1 78 B3 26 E5 9A 72 ED 
           61 B2 00 F2 FC 2A 1E 8E 07 F2 65 BC 22 3E 0C 30 9A FE 72 67 
           C4 74 25 F2 BF 88 F5 7B B1 85 B5 4A E3 98 40 61 57 53 CF 58 
           41 39 C6 3A 11 20 11 59 17 88 EF 33 75 2A CD A2 76 8D BA 4F 
           73 0C 43 80 5F 8A C7 06 DA 3F 2A 3C 6B F3 B0 06 B2 BD FB 6A 
           1A 73 BA 67 BA 02 F2 F4 D1 27 CC 19 0D 8B 81 AD 97 26 D3 62 
           57 B2 73 43 47 BA EE 8F 90 9D 81 DF 20 7D 5E EF F3 0A C2 A2 
           3C DC AF FA AD 96 DD E6 9C 8F 8F CB E0 C0 CC BB 4E 78 61 E0 
           67 75 48 0F 31 09 1A 32 1B A9 42 F1 FD 9A 4F 3F 35 

Extension: 2.16.840.1.113730.1.1
Critical: 0
Data: 03 02 06 40 


Extension: Key Usage(2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Non Repudiation, Key Encipherment


Extension: Subject Key Identifier(2.5.29.14)
Critical: 0
Subject Key Identifier: D9 49 A0 2C 5D 80 AD F2 1E 3D 04 8C 3C F0 E6 BC CB D4 1E 3B 


Extension: Authority Key Identifier(2.5.29.35)
Critical: 0
Key Identifier: 58 46 00 33 84 11 CA 67 89 CC FB 2A E7 92 5B A0 3A 87 68 9C 


Extension: Extended Key Usage(2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Fingerprints : 

SHA-256 Fingerprint: 13 19 05 E4 10 FD 1B 4B 6B 0A 30 AD 8F F4 9A D3 BA C7 E7 6D 
                     45 38 17 C6 EC D6 42 11 EB DA 5B CF 
SHA-1 Fingerprint: 1F 13 8C A9 E9 CF AF A1 E3 52 6E 03 7A 7D FD FB CA 7C F3 6A 
MD5 Fingerprint: 90 8D E6 68 F3 EB 71 CA CF D9 DE 14 7B F5 DA 91 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEBjCCAu6gAwIBAgICdSgwDQYJKoZIhvcNAQELBQAwgZ0xHDAaBgNVBAoME05lc3N1cyBVc2VycyBVbml0ZWQxJzAlBgNVBAsMHk5lc3N1cyBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTEnMCUGA1UEAwweTmVzc3VzIENlcnRpZmljYXRpb24gQXV0aG9yaXR5MB4XDTI1MDgwOTA1NDAzOFoXDTI5MDgwODA1NDAzOFowcjEcMBoGA1UECgwTTmVzc3VzIFVzZXJzIFVuaXRlZDEWMBQGA1UECwwNTmVzc3VzIFNlcnZlcjERMA8GA1UEBwwITmV3IFlvcmsxCzAJBgNVBAYTAlVTMQswCQYDVQQIDAJOWTENMAsGA1UEAwwEa2FsaTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMZN/Q9U941yBYaKmle8NEH4qmHJv2XY6wYTqrfkT50Ly4gY3EL+0EMxwILEZX+SjcOJ2TmsmVquVK+HYdqTDs5FstBEYXxRwlD7/mum5Cn/256cTlllYKeSqM0nhjCffBw+kvkZ3gALgdV7+SPYHLbJeb2q9PeVWcI7pFGhYN89YGvSces4JlaD60wgGEI506BxWNEXHSWjLRTUZcu0XNNx3cFoyz1H0PWp2ElJEuui+WzPKZVQrO1CmtHH0qxE+cus1Ma23tEJKeCoDv+P1y3K2+yA3PVmBh9oLxYLkoZ92os3EXI2bd6XLPbW8C0MRozSW2yYFlpCp0husuEsQn8CAwEAAaN6MHgwEQYJYIZIAYb4QgEBBAQDAgZAMA4GA1UdDwEB/wQEAwIF4DAdBgNVHQ4EFgQU2UmgLF2ArfIePQSMPPDmvMvUHjswHwYDVR0jBBgwFoAUWEYAM4QRymeJzPsq55JboDqHaJwwEwYDVR0lBAwwCgYIKwYBBQUHAwEwDQYJKoZIhvcNAQELBQADggEBAGxscmyZn6dmsV+nbUscc1trzGbXR8Hr9r3sd6zUweEfnAOYLcADXQTbecW+ESMn8oTup8/K7uBfTxnBHIhAV5J4LQg2WlSVf2DAmlz+4OMKiSX8mbEmu0EQRlixeLMm5Zpy7WGyAPL8Kh6OB/JlvCI+DDCa/nJnxHQl8r+I9XuxhbVK45hAYVdTz1hBOcY6ESARWReI7zN1Ks2ido26T3MMQ4BfiscG2j8qPGvzsAayvftqGnO6Z7oC8vTRJ8wZDYuBrZcm02JXsnNDR7ruj5Cdgd8gfV7v8wrCojzcr/qtlt3mnI+Py+DAzLtOeGHgZ3VIDzEJGjIbqULx/ZpPPzU=
-----END CERTIFICATE-----","","","","","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11032","","","None","127.0.0.1","tcp","8834","Web Server Directory Enumeration","It is possible to enumerate directories on the web server.","This plugin attempts to determine the presence of various common
directories on the remote web server.  By sending a request for a
directory, the web server response code indicates if it is a valid
directory or not.","n/a","http://projects.webappsec.org/w/page/13246953/Predictable%20Resource%20Location","

The following directories require authentication:
/session, /events","","","","","","","","","None","","OWASP:OWASP-CM-006","","2002/06/26","2024/06/07","","",""
"11936","","","None","127.0.0.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 6.12.25-amd64
Confidence level : 99
Method : uname

 
The remote host is running Linux Kernel 6.12.25-amd64","","","","","","","","","None","","","","2003/12/09","2025/06/03","","",""
"12053","","","None","127.0.0.1","tcp","0","Host Fully Qualified Domain Name (FQDN) Resolution","It was possible to resolve the name of the remote host.","Nessus was able to resolve the fully qualified domain name (FQDN) of
the remote host.","n/a","","
127.0.0.1 resolves as localhost.
","","","","","","","","","None","","","","2004/02/11","2025/03/13","","",""
"14272","","","None","127.0.0.1","tcp","1716","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 1716/tcp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
"14272","","","None","127.0.0.1","tcp","8834","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 8834/tcp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
"14272","","","None","127.0.0.1","udp","1716","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 1716/udp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
"14272","","","None","127.0.0.1","udp","5353","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 5353/udp was found to be open","","","","","","","","","None","","","","2004/08/15","2025/05/27","","",""
